URL,Title,Views,Likes,Dislikes,Channel Name,Subscribers,Publish Date
https://www.youtube.com/watch?v=6C6oOcDFmLY,France v Argentina - 2018 FIFA World Cup Russia™ - Match 50,"15,669,084","104,357","6,569",FIFATV,6M,"Jun 30, 2018"
https://www.youtube.com/watch?v=mV7HZSq0gXE,COLOMBIA v URUGUAY (2:0) - 2014 FIFA World Cup™,"621,101","2,914",233,FIFATV,6M,"Apr 23, 2018"
https://www.youtube.com/watch?v=a7IMPsyQg6k,BRAZIL v GERMANY (1:7) - 2014 FIFA World Cup™,"2,266,186","13,724","1,835",FIFATV,6M,"Apr 26, 2018"
https://www.youtube.com/watch?v=auqyXFLZ_zw,Uruguay v Portugal - 2018 FIFA World Cup Russia™ - Match 49,"17,445,678","92,441","8,610",FIFATV,6M,"Jun 30, 2018"
https://www.youtube.com/watch?v=pAUGJpu6FKo,BRAZIL v COLOMBIA (2:1) - 2014 FIFA World Cup™,"962,582","4,508",473,FIFATV,6M,"Apr 25, 2018"
https://www.youtube.com/watch?v=QzWrbNmZT-M,The Best of Round of 16 - A Breathless Finish,"819,021","10,277",509,FIFATV,6M,"Jul 3, 2018"
https://www.youtube.com/watch?v=U1DZqSLVMrg,"Brazil v. Germany, Canada 2014 HIGHLIGHTS","975,048","2,318",429,FIFATV,6M,"Aug 25, 2016"
https://www.youtube.com/watch?v=bly2MB1A0cI,CAMEROON v BRAZIL (1:4) - 2014 FIFA World Cup™,"1,089,931","3,700",602,FIFATV,6M,"Apr 19, 2018"
https://www.youtube.com/watch?v=5_iIW2DZ8nc,Croatia v Denmark - 2018 FIFA World Cup Russia™ - Match 52,"9,267,046","45,285","3,234",FIFATV,6M,"Jul 1, 2018"
https://www.youtube.com/watch?v=OKjV2SQfKrw,Korea Republic v Germany - 2018 FIFA World Cup Russia™ - Match 43,"23,901,242","180,404","14,194",FIFATV,6M,"Jun 27, 2018"
https://www.youtube.com/watch?v=I_YrTEiOVGo,Uruguay v Russia - 2018 FIFA World Cup Russia™ - Match 33,"7,752,121","37,016","2,145",FIFATV,6M,"Jun 25, 2018"
https://www.youtube.com/watch?v=LIEuU8CZjGQ,Historical Tactical Snooker Battle!!! Ronnie O'Sullivan v Judd Trump 1080p,"5,132,910","17,489","1,945",Snooker Planet,,"Jun 16, 2017"
https://www.youtube.com/watch?v=9OhDrZ-GwlU,Top 10 Richest Cricketers in The World - Urdu,"2,327,901","30,033","3,307",PakiHolic,78K,"Jul 10, 2017"
https://www.youtube.com/watch?v=6eulv-JrG-k,15 Pakistani Cricketers With Their Lovely Wives,"6,696,163","18,588","3,995",Celebrity News,375K,"Jun 14, 2017"
https://www.youtube.com/watch?v=H3YTEO4p1rg,Reasons behind Imran Khan's historical decision call back Srikant to bat,"348,988",924,109,Life Channel,22K,"Dec 15, 2017"
https://www.youtube.com/watch?v=sJFDBkvuFbc,When Cristiano Ronaldo and Ibrahimović Made History in the Same Match,"24,224,034","126,439","12,149",g Element,649K,"Nov 10, 2017"
https://www.youtube.com/watch?v=2eCROXR6M7U,Unexpected Goals In Football,"6,917,599","91,875","6,732",M4K,458K,"May 21, 2017"
https://www.youtube.com/watch?v=kj7uMD5lwsc,Best Of Nasir Chinyoti and Tariq Teddy New Pakistani Stage Drama Full Comedy Funny Clip,"2,382,994","4,925","1,082",Pk mAST,823K,"May 16, 2017"
https://www.youtube.com/watch?v=hKOi0eZRDrM,Top 10 Funny Fielding on Boundary Line in Cricket History Ever,"5,055,160","17,195","3,193",cRiCkEt cRaZe,139K,"Jun 9, 2016"
https://www.youtube.com/watch?v=ldnJrDOgwpo,15 Most Creative Penalty Goals in Football,"22,653,012",,,DNpro,519K,"Jul 30, 2017"
https://www.youtube.com/watch?v=Zh5xI4E4smc,Top 20 Impossible Goals,"3,353,510","28,178","1,590",SportsHD,1M,"Feb 2, 2018"
